"Boleiros 1","SP Filmes de São Paulo (http://www.spfilmes.com.br)","Melhor direção no Film Festival of Amiens. Melhor roteiro APCA. “Cinema Novo and Beyond” no
MOMA-NY e “Images et Regards”- Paris. Estrelando Lima Duarte, Marisa Orth e Denise Fraga.","Em um típico bar paulistano, onde as paredes são cobertas por fotografias de jogadores de futebol, um grupo de homens tem algo em comum: são todos boleiros - profissionais atuantes ou aposentados do futebol.",1:37:20,"Ugo Giorgetti",1998,"Adriano Stuart, Flávio Migliaccio, Otávio Augusto, Cássio Gabus Mendes, Rogério Cardoso, João Acaiabe, Aldo Bueno, César Negro, Elias Andreato, Bruno Giordano, Cláudio Curi, Antônio Grassi, André Abujamra, Lima Duarte, Marisa Orth, Denise Fraga",,,,,,"Comédia","longa","""Melhor roteiro"" - APCA 98; 2nd melhor filme nacional - 98 Mostra Cine SESC - SP; ""melhor direção"" no International Film Fest of Amiens (98 - France); Screening no ""Cinema Novo and Beyond"" MOMA - NY - 98/99; Screening no ""Images et Regards"" - Paris 99",,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,,"indeterminado",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Malu",,"spfilmes@spfilmes.com.br","ELOAV","Andre / Leandro"
"Boleiros 2","SP Filmes de São Paulo (http://www.spfilmes.com.br)","Um dos maiores sucessos de bilheteria dos filmes nacionais. Estrelando Lima Duarte e Denise Fraga.","Boleiros 2 é sobre o futebol brasileiro. Jogadores ricos, jogadores pobres, homens de negócios, empresários, advogados, jornalistas e jovens beldades. É um filme de vinhetas, contado em episódios, feito de histórias repletas de comédia, drama e criatividade. Exatamente como o futebol brasileiro.",1:27:46,"Ugo Giorgetti",2006,"Flavio Migliaccio, Denise Fraga, Cássio Gabus Mendes, Otávio Augusto, Adriano Stuart, Lima Duarte, Silvio Luiz, Paulo Miklos, Andréa Tedesco, Gabriela Rabelo, Fulvio Stefanini, Lavínia Pannunzio, José Renato, Fernanda D´umbra.",,,,,,"Comédia","longa","Abertura Recife Film Festival (Fora da competição) (Brasil); Abertura  Miami Film Festival (Fora da competição) (USA); New York Film Festival (USA)",,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,,"indeterminado",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Malu",,"spfilmes@spfilmes.com.br","ELOAV","Andre / Leandro"
"Brava gente brasileira","Taiga Filmes (http://www.taigafilmes.com)","Roteiro premiado pelo Ministério da Cultura do Brasil 1998. Prêmios de Melhor Atriz e Música no Festival de Brasília 2000.","A história se passa em 1778 no Pantanal Matogrossense. Um grupo de soldados escolta Diogo, astrônomo, naturalista e cartógrafo recém-graduado na Universidade de Coimbra, que vem auxiliar a demarcação das fronteiras do país reivindicado pela Espanha e por Portugal.",0:46:00,"Lucia Murat",2000,"Diogo Infante, Floriano Peixoto, Luciana Rigueira, Leonardo Villar, Buza Ferraz, Murilo Grossi, Sérgio Mamberti, Adeílson Silva, Hilário Silva, Vanessa Marcelino, Sandra Silva, William Soares",,,,,,"Drama","média","Festival de Brasília 2000 - melhor atriz e trilha sonora; Seleção de ""Brave New Land"" 1998 - pelo Sundance Institute; Prêmio de roteiro - Ministério da Cultura do Brasil 1998; Seleção Oficial Festival Internacional de Mar del Plata; Seleção Oficial Festival de Toulouse, Seleção Oficial Hong Kong International Film Festival",,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,,"10/junho/12",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Rodrigo Ramos ",,"rodrigo@taigafilmes.com","ELOAV","Andre / Leandro"
"Candinho","Vera Cruz (http://www.veracruzcinema.com.br)","Grande sucesso da Vera Cruz. Estrelando Amácio Mazzaropi, Marisa Prado, Adoniran Barbosa e Ruth de Souza.","O Candinho é o caipira que deixa o campo, levando seu burro junto, e vai a São Paulo, tentar achar sua mãe.",1:34:32,"Abílio Pereira de Almeida",1953,"Amácio Mazzaropi, Marisa Prado, Ruth de Souza, Adoniran Barbos, Benedito Corsi, Xandó Batista, Domingos Terras, Nieta Junqueira, Labiby Madi, Ayres Campos, Sydnea Rossi, Salvador Daki, John Herbert",,,,,,"Comédia","longa",,,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,"29/junho/09","29/junho/10",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Wilfred","(11) 3237-0062 / 9999-1151","veracruz@veracruzcinema.com.br","ELOAV","Andre / Leandro"
"Doces poderes","Taiga Filmes (http://www.taigafilmes.com)","Com Marisa Orth, Antônio Fagundes, Tuca Andrada. Seleção oficial no Sundance Film Festival.","Bia, uma jornalista carioca, chega em Brasília para comandar a maior rede de televisão do país durante a campanha eleitoral. Metade dos funcionários da TV estão saindo para trabalhar por salários altíssimos em diferentes campanhas pelo Brasil. ",1:33:05,"Lucia Murat",1997,"Marisa Orth, Antônio Fagundes, José de Abreu, Otávio Augusto, Cláudia Lira, Tuca Andrada, Sérgio Mamberti",,,,,,"Comédia","longa","Sundance Film Festival; Film Forum Berlim; New England Latin American Film Festival USA - 1997; Washington International Film Festival USA - 1997 - Philadelphia; World Cinema - USA - 1997; Mar del Plata Festival - Argentina - 1997; London Latin American Film Festival - UK - 1997",,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,,"10/julho/12",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Rodrigo Ramos ",,"rodrigo@taigafilmes.com","ELOAV","Andre / Leandro"
"Família Lero Lero","Vera Cruz (http://www.veracruzcinema.com.br)","Grande sucesso da Vera Cruz. Estrelando Walter D'Avila, Marina Freire e Luiz Linhares.","A história é sobre um servidor público que é atormentado pelos infinitos desejos de sua família, onde ninguém trabalha. A fim de agradá-los, ele precisa de uma folga, saindo de férias para o Guarujá, mas é preso. Por sorte, depois de ser solto da prisão, ele ganha o respeito da família e ainda é promovido em seu trabalho.",1:18:08,"Alberto Pieralisi",1953,"Walter D'Ávila, Marina Freire, Luiz Linhares, Ricardo Bandeira, Helena Barreto Leite, Elísio de Albuquerque, Renato Consorte",,,,,,"Comédia","longa",,,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,"29/junho/09","29/junho/10",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Wilfred","(11) 3237-0062 / 9999-1151","veracruz@veracruzcinema.com.br","ELOAV","Andre / Leandro"
"Garrincha","FAM Filmes (http://www.famfilmes.com.br)","Melhor atriz no Brasilian Film Festival of Miami. Melhor Filme e Música no Festival Audiovisual de Recife. Melhor Maquiagem no Grande Prêmio do Cinema Brasileiro.","Em 1980, a escola de samba Mangueira homenageou um ícone do futebol brasileiro: Garrincha. Através da música, do erotismo e das luzes do carnaval, vemos este velho jogador de 46 anos ser levado em um carro alegórico especialmente projetado para a ocasião, embora ele já não seja tão glorioso quanto a atmosfera mágica poderia sugerir.",1:44:30,"Milton Alencar",2004,"Taís Araújo, Milhem Cortaz, Ana Couto, Chico Díaz, Marcelo Escorel, Romeu Evaristo, Miguel Falabella, Guti Fraga, André Gonçalves, Milton Gonçalves, Créo Kellab, Tatiana Merino, Marília Pêra.",,,,,,"ficção","longa","Melhor longa e melhor trilha sonora no CinePE - Audiovisual Festival; Melhor ator e melhor trilha sonora no I Belém Festival; Melhor atriz no Brasilian Film Festival of Miami",,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,,"7/novembro/11",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Jorge Luiz",,"moreno@famfilmes.com.br ","ELOAV","Andre / Leandro"
"Gilete Azul","Seqüência 1 (http://sequencia1.com.br)","Um documentário provocante que faz com que o público tenha  experiências antagônicas com sentimentos de prazer e dor através do trabalho de Nazareth Pachecco.","Na obra da artista plástica Nazareth Pacheco, a presença do sofrimento vivido no corpo.",0:16:04,"Miriam Chnaiderman",2003," ",,,,,,"Documentário","curta",,,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,,"25/junho/13",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Eliana Costa ","(11)3662-5350
8185.2050","elianacosta@sequencia1.com.br","ELOAV","Andre / Leandro"
"Grande sertão veredas","Vera Cruz (http://www.veracruzcinema.com.br)","Grande sucesso da Vera Cruz. Estrelando Tony Ramos, Bruna Lombardi e Tarcísio Meira.","A história de Riobaldo começa quando ele é ainda um jovem afilhado de um grande fazendeiro e vai ensinar Zé Bebelo que comanda um bando de homens armados contratados pelo governo para acabar com os fora-da-lei do sertão.

",1:29:34,"Geraldo e Renato dos Santos Pereira",1965,"João Barros, Zózimo Bulbul, Sônia Clara, Paulo Copacabana, Ivan De Souza, Maurício do Valle, Milton Gonçalves, Glória Goulart, David José, Generino Luiz, Nilda Maria, Gilberto Marques, Graça Mello, Jofre Soares",,,,,,"ação/aventura","longa",,,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,"29/junho/09","29/junho/10",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Wilfred","(11) 3237-0062 / 9999-1151","veracruz@veracruzcinema.com.br","ELOAV","Andre / Leandro"
"Interface","Vídeo Cubo (http://www.videocubo.com.br)","O diálogo entre a dança e a tecnologia através da lente da câmera.","Uma garota asiática dança. Mas será que a tecnologia que baila com a moça ou é ela quem rege a dança? ",0:03:02,"Victor Reis",," ",,,,,,"Musical","curta",,,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,,,,"adquirido",100%,,,,,,,,,,,,,,,,,,,,,,,"ELOAV","Andre / Leandro"
"Isso, aquilo e aquilo outro","Seqüência 1 (http://sequencia1.com.br)"," 
O documentário dá voz a pessoas que sofrem de discriminação social no Brasil, apresentando sua visão sobre o tema preconceito.","Nos distintos espaços da cidade de São Paulo, são expostas as diferenças e os modos de lidar com a humilhação.",0:35:44,"Miriam Chnaiderman",2004," ",,,,,,"Documentário","média",,,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,,"25/junho/13",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Eliana Costa ","(11)3662-5350
8185.2050","elianacosta@sequencia1.com.br","ELOAV","Andre / Leandro"
"Marcelo Grassman - 25 anos de gravura","Vera Cruz (http://www.veracruzcinema.com.br)","Documentário produzido pela Vera Cruz, fundada em dezembro de 1949, que produziu e co-produziu mais de 40 longas e alguns documentários. Muitos deles alcançaram prestígio nacional e internacional e fazem parte da História do Cinema Brasileiro.","Documentário sobre o processo criativo do artista Marcelo Grassman.",0:10:19,"Silvio de Campos Silva",1971," ",,,,,,"Documentário","curta",,,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,"29/junho/09","29/junho/10",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Wilfred","(11) 3237-0062 / 9999-1151","veracruz@veracruzcinema.com.br","ELOAV","Andre / Leandro"
"Nadando em dinheiro","Vera Cruz (http://www.veracruzcinema.com.br)","Grande sucesso da Vera Cruz. Com Amácio Mazzaropi, Judy Veloso, Nieta Junqueira.","Um motorista de caminhão herda uma grande fortuna mas, depois de ridicularizado pela elite e abandonado pela família, acorda feliz com sua condição humilde de suburbano.",1:24:37,"Abílio Pereira de Almeida",1952,"Amácio Mazzaropi, Ludy Veloso, A.C. Carvalho, Nieta Junqueira, Liana Duval, Carmen Muller, Simone Moura, Vicente Leporace, Elísio de Albuquerque",,,,,,"comédia","longa",,,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,"29/junho/09","29/junho/10",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Wilfred","(11) 3237-0062 / 9999-1151","veracruz@veracruzcinema.com.br","ELOAV","Andre / Leandro"
"Noite vazia","Vera Cruz (http://www.veracruzcinema.com.br)","Grande sucesso da Vera Cruz,  fundada em dezembro de 1949, que produziu e co-produziu mais de 40 longas e alguns documentários. Muitos deles alcançaram prestígio nacional e internacional e fazem parte da História do Cinema Brasileiro.","Dois amigos contratam os  serviços de duas prostitutas. O que era para ser uma noite de prazer acaba sendo um choque verbal entre as quatro pessoas revelando suas angústias e ressentimentos.",1:31:16,"Walther Hugo Khouri",1964,"Norma Bengell, Odete Lara, Mário Benvenutti, Gabriele Tinti, Lisa Negri, Marisa Woodward, Anita Kennedy, Ricardo Rivas, Célia Watanabe, Wilfred Khouri, Júlia Kovach, Darcy Cardoso, Laura Maria",,,,,,"drama","longa","Melhor diretor, Melhor trama, Melhor Filme no SACI Award",,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,"29/junho/09","29/junho/10",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Wilfred","(11) 3237-0062 / 9999-1151","veracruz@veracruzcinema.com.br","ELOAV","Andre / Leandro"
"O Corpo ardente","Vera Cruz (http://www.veracruzcinema.com.br)","Grande sucesso da Vera Cruz,  fundada em dezembro de 1949, que produziu e co-produziu mais de 40 longas e alguns documentários. Muitos deles alcançaram prestígio nacional e internacional e fazem parte da História do Cinema Brasileiro.","Longe das cidades uma mulher (Barbara Lage) tenta domar os cavalos selvagens dos seus sentimentos mais profundos. De uma artista cuja obra-prima é a tensão erótica, não é pouco dizer que ""O corpo ardente"" é o filme mais pessoal e provocativo de Walter Hugo Khouri, e por várias características, seu favorito.",1:23:25,"Walter Hugo Khouri",1966,"Barbara Laage, Mário Benvenutti, Pedro Paulo Hatheyer, Sérgio Hingst, Marisa Woodward, Célia Watanabe, Dina Sfat, Francisco Di Franco, Wilfred Khouri, David Cardoso, Lineu Dias, Sônia Clara, Lilian Lemmertz",,,,,,"Drama","longa","Governador do Estado de São Paulo Award, Best Film at SACI Award",,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,"29/junho/09","29/junho/10",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Wilfred","(11) 3237-0062 / 9999-1151","veracruz@veracruzcinema.com.br","ELOAV","Andre / Leandro"
"O gato de madame","Vera Cruz (http://www.veracruzcinema.com.br)","Grande sucesso da Vera Cruz,  fundada em dezembro de 1949, que produziu e co-produziu mais de 40 longas e alguns documentários. Muitos deles alcançaram prestígio nacional e internacional e fazem parte da História do Cinema Brasileiro.","Arlindo (Mazzaropi) não tem um endereço fixo. Então ele ajuda sua esposa na entrega de roupas limpas, para mulheres ricas. Depois de entregar as roupas em uma das mansões, ele pretende comprar uma boneca para sua filha, pelo seu aniversário. Um gato o segue. Arlindo sente pena do pequeno animal e o leva para casa.",1:25:33,"Agostinho Martins Pereira",1956,"Amácio Mazzaropi, Odete Lara, Carlos Cotrim, Lima Neto, Gilberto Chagas, Roberto Duval, Leo de Avelar, Henricão, Osmano Cardoso, José Nuzzo, Inaija Vianna, Jorge Petrov, José Mercaldi, Tito Livio Baccarin, Aída Mar",,,,,,"comédia","longa",,,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,"29/junho/09","29/junho/10",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Wilfred","(11) 3237-0062 / 9999-1151","veracruz@veracruzcinema.com.br","ELOAV","Andre / Leandro"
"O Sobrado","Vera Cruz (http://www.veracruzcinema.com.br)","Grande sucesso da Vera Cruz,  fundada em dezembro de 1949, que produziu e co-produziu mais de 40 longas e alguns documentários. Muitos deles alcançaram prestígio nacional e internacional e fazem parte da História do Cinema Brasileiro.","Extraído da Obra ''O Tempo e o Vento'', de Érico Veríssimo. Dois caudilhos, duas famílias em luta. Cercados em um sobrado, sem água e sem munições eles têm que resistir às provocações com decisão e coragem. O inimigo não passa da soleira do sobrado.",1:40:20,"Walter George Durst",1956,"Zulmira Aguiar, Dionísio Azevedo, Jorge Azevedo, Fernando Baleroni, Jaime Barcellos, Tito Bianchini, Geraldo Castelaro, Lia de Aguiar, Samuel Dos Santos, Lima Duarte.",,,,,,"Drama","longa",,,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,"29/junho/09","29/junho/10",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Wilfred","(11) 3237-0062 / 9999-1151","veracruz@veracruzcinema.com.br","ELOAV","Andre / Leandro"
"Obras Novas - A evolução de uma indústria","Vera Cruz (http://www.veracruzcinema.com.br)","Grande sucesso da Vera Cruz,  fundada em dezembro de 1949, que produziu e co-produziu mais de 40 longas e alguns documentários. Muitos deles alcançaram prestígio nacional e internacional e fazem parte da História do Cinema Brasileiro.","Documentário sobre a construção dos estúdios Vera Cruz.",0:18:29,"Lima Barreto",1951,"Mario Alimari, Geraldo Ambrósio, José Bucci, Fábio Cardoso, Gilberto Chagas, Antônio Coelho, Renato Consorte, Darcy Cori, Jaime Costa, Elísio de Albuquerque, Nestor Alves de Lima, Jackson De Souza, Modesto De Souza, Ruth de Souza, Maria Dilnah",,,,,,"Documentário","curta",,,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,"29/junho/09","29/junho/10",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Wilfred","(11) 3237-0062 / 9999-1151","veracruz@veracruzcinema.com.br","ELOAV","Andre / Leandro"
