"Elba Ramalho - Rua da Passagem ( Trânsito )","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","4'20""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - A Dança das Borboletas","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","5'18""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Noite Severina","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","4'52""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Estrela Miúda","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","5'22""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Miragem do Porto","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","7'27""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Conceição dos Coqueiros","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","6'02""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Palavra de Mulher","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","4'38""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Um Índio","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","6'28""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Dois Pra Sempre","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","3'13""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Na Base da Chinela","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","7'23""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Gostoso Demais","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","4'37""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Tempos Quase Modernos ( Qual o Assunto Que Mais Lhe Interessa? )","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","4'35""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
